link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(580, 142, '0')",1,2931.0,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1
"(12, 77, '0')",1,111.0,3006.3,3003.7,3003.8,3004.1,3005.9,3039.4,3020.5,3079.1,3100.0,3097.5,3020.3,3114.2,3131.0,3169.9,3168.6,2982.4,2985.5,2997.8,2960.9,2951.5
"(143, 579, '0')",1,2266.0,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3
"(1217, 10, '0')",0,,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9,547.9
"(561, 10, '0')",0,,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0
"(1217, 1196, '0')",0,,480.9,499.7,527.5,542.5,540.5,561.7,588.1,623.5,726.9,848.3,573.0,1377.0,1465.8,1470.6,1447.6,2259.6,2307.1,1948.5,2015.0,2027.4
"(14, 414, '0')",0,,3446.8,3364.6,3274.6,3193.6,3112.2,3057.6,3002.1,3003.3,2986.5,2953.0,3009.2,2631.3,2625.0,2606.5,2612.5,2641.6,2640.1,2651.4,2669.5,2644.1
"(577, 580, '0')",0,,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1,1895.1
"(15, 14, '0')",0,,3446.8,3364.6,3274.6,3193.6,3112.2,3057.6,3002.1,3003.3,2986.5,2953.0,3009.2,2631.3,2625.0,2606.5,2612.5,2641.6,2640.1,2651.4,2669.5,2644.1
"(579, 647, '0')",0,,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3,2284.3
"(16, 221, '0')",0,,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5
"(873, 221, '0')",0,,1063.5,1070.0,1120.6,1173.3,1223.4,1266.8,1307.9,1407.5,1483.1,1561.9,1315.5,1906.4,2169.4,2063.1,2066.7,2635.1,2631.5,1778.2,1948.1,2015.1
"(904, 221, '0')",0,,1487.5,1487.0,1503.4,1482.9,1493.8,1544.2,1642.6,1749.8,1925.0,2135.7,1641.4,2588.0,2785.3,2658.3,2657.2,2793.8,2837.4,2572.2,2939.3,3004.6
"(1308, 221, '0')",0,,1982.5,2039.6,2016.8,2050.3,2060.6,2129.2,2169.4,2181.3,2205.8,2232.4,2165.2,2320.6,2517.1,2602.4,2678.7,3018.9,2962.7,2211.9,2012.1,2061.8
"(16, 895, '0')",0,,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4,2034.4
"(111, 895, '0')",0,,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5,1718.5
"(17, 1250, '0')",0,,1600.0,1682.8,1767.0,1852.5,1961.1,2072.8,2273.4,2181.9,2393.4,2437.2,2276.4,2719.7,3072.6,3194.0,3292.1,3276.8,3353.1,3491.2,3501.3,3502.6
"(1252, 1250, '0')",0,,96.6,96.0,94.5,92.3,90.0,88.1,87.3,85.4,85.8,86.3,85.5,101.8,95.0,129.5,117.2,148.2,134.5,105.1,117.4,128.6
"(570, 1250, '0')",0,,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2
